resource_id,title,provider,domain,skill_tags,difficulty,duration_hours,format,cost_type,url
R6930,Come Rain or Shine: Understanding the Weather,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/come-rain-or-shine
R7178,Championing Change: Human Rights and the Climate Crisis,Future Learn,Sustainability,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/climate-change-human-rights
R2150,Excel Skills for Business: Intermediate I,Coursera,Business,concatenation|microsoft excel|consolization|pivot table|pivot chart|,Intermediate,27.0,Video,Paid,https://www.coursera.org/learn/excel-intermediate-1?specialization=excel
R4005,Software Development with Python and Java: Understanding Python,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/software-development-python-java-understanding-python
R458,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate,Coursera,Information Technology,debugging|google cloud platform|cloud storage|application development|cloud computing|,Intermediate,2.0,Video,Paid,https://www.coursera.org/professional-certificates/google-cloud-developer
R541,Kotlin for Java Developers,Coursera,Computer Science,,Intermediate,25.0,Video,Paid,https://www.coursera.org/learn/kotlin-for-java-developers
R3173,Microsoft Future Ready: Ethics and Laws in Data and Analytics,Future Learn,Data Science,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/ethics-and-law-in-data-and-analytics-et
R4130,Introduction to Comparative Indo-European Linguistics,Future Learn,General,,Beginner,8.0,Video,Paid,https://www.futurelearn.com/courses/introduction-to-comparative-indo-european-linguistics
R5392,Coaching Skills: Team culture,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/coaching4
R4343,Understanding Enemies,Future Learn,General,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/understanding-enemies
R3856,Containerised Applications on AWS,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/building-containerized-applications-on-aws
R2230,Acing the Product Management Interview,Coursera,Computer Science,estimation interview|data analysis interview|strategy interview|behavioral interview|product design interview|,Intermediate,14.0,Video,Paid,https://www.coursera.org/learn/acing-product-management-interviews?specialization=real-world-product-management
R4307,Sport for Sustainable Development: Designing Effective Policies and Programmes,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/sport-for-sustainable-development
R6115,Medical Equipment Donations to Low Resource Settings,Future Learn,Health,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/sustainable-solutions-in-low-resource-healthcare-settings
R1516,Digital Signal Processing 1: Basic Concepts and Algorithms,Coursera,Physical Science and Engineering,,Beginner,28.0,Video,Paid,https://www.coursera.org/learn/dsp1?specialization=digital-signal-processing
R5853,PDSAFE: Physiotherapy and Falls Prevention in Parkinson's,Future Learn,General,,Intermediate,6.0,Video,Paid,https://www.futurelearn.com/courses/pdsafe-falls-prevention-in-parkinsons-the-therapists-approach-
R1043,Supply Chain Optimization,Coursera,Business,,Intermediate,8.0,Video,Paid,https://www.coursera.org/learn/supply-chain-optimization?specialization=leverage-data-science-agile-supply-chain
R3127,AI and Machine Learning Algorithms Using Python,Future Learn,Data Science,,Intermediate,5.0,Video,Paid,https://www.futurelearn.com/courses/cloudswyft-msft-principles-of-machine-learning-pythoned-ai
R6500,Dynamics 365: Testing and Deploying Power Platform Applications,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/cloudswyft-msft-dynamics-365-testing-and-deploying-power-platform-app
R6614,Intermediate German: People and Lifestyles,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/intermediate-german-deutsch-im-kontext-leute-und-leben
R1741,Human-Centered Design for Inclusive Innovation,Coursera,Business,creativity|prototyping|design thinking|innovation|inclusive innovation|,Intermediate,13.0,Video,Paid,https://www.coursera.org/learn/gender-analytics-human-centered-design?specialization=gender-analytics
R859,Supply Chain Logistics,Coursera,Business,warehouse management|logistics planning|supply chain|inventory|,Intermediate,8.0,Video,Paid,https://www.coursera.org/learn/supply-chain-logistics
R4603,Spatial Circularity Strategies 2: Measuring Circularity Transitions,Future Learn,Information Technology,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/circular-regions-2-measuring-circularity-transitions
R2918,High Performance Computing,Udacity,General,,Intermediate,4.0,Video,Paid,https://www.udacity.com/course/high-performance-computing--ud281
R264,Executive Data Science Specialization,Coursera,Data Science,data science| data management| data analysis| communication| leadership| machine learning| project| team building| management| team management| interpretation| exploratory data analysis| ,Intermediate,2.0,Video,Paid,https://www.coursera.org/specializations/executive-data-science
R4317,An Introduction to Systems Thinking for Sustainability: SiD Theory I,Future Learn,Information Technology,,Beginner,4.0,Video,Paid,https://www.futurelearn.com/courses/systems-thinking-for-sustainability
R4190,Championing Change: Human Rights and the Climate Crisis,Future Learn,Sustainability,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/climate-change-human-rights
R2926,Deploying Applications with Heroku,Udacity,Information Technology,,Intermediate,1.0,Video,Paid,https://www.udacity.com/course/deploying-applications-with-heroku--ud272
R5287,Product Management Essentials,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/product-management-essentials
R6728,Business Law and the Fashion Industry,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/business-law-fashion-industry
R795,Understanding Clinical Research: Behind the Statistics,Coursera,Health,clinical research|statistics|statistical analysis|statistical hypothesis testing|,Intermediate,27.0,Video,Paid,https://www.coursera.org/learn/clinical-research
R2541,"Uncommon Sense Teaching: Part 2, Building Community and Habits of Learning",Coursera,Social Sciences,lesson plan|strategies in teaching|social emotional|neurodiversity|,Intermediate,13.0,Video,Paid,https://www.coursera.org/learn/building-community-habits-of-learning?specialization=uncommon-sense-teaching-certificate
R5752,Designing a Future Where Learning is a Lifestyle,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/designing-future-where-learning-is-lifestyle
R2593,Linux Fundamentals,Coursera,Computer Science,,Intermediate,17.0,Video,Paid,https://www.coursera.org/learn/linux-fundamentals?specialization=linux-for-lfca-certification
R2642,"Visionary leadership, identity & motivation: Become a meaning maker",Coursera,Business,motivation|communication|leadership|brand management|,Intermediate,29.0,Video,Paid,https://www.coursera.org/learn/visionary-leadership-meaning-maker?specialization=hr-management-leadership
R3207,Business Agility Foundations: Engaging Others,Future Learn,Information Technology,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/business-agility-foundations-engaging-others
R4126,An Intermediate Guide to Writing in English for University Study,Future Learn,Information Technology,,Intermediate,5.0,Video,Paid,https://www.futurelearn.com/courses/english-for-study-intermediate
R5333,Demystifying Business Models for New Entrepreneurs,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/demystify-business-models
R1692,Wearable Technologies and Sports Analytics,Coursera,Data Science,,Intermediate,28.0,Video,Paid,https://www.coursera.org/learn/wearable-technologies?specialization=sports-analytics
R2253,TOEFL Reading and Listening Sections Skills Mastery,Coursera,Language Learning,,Intermediate,8.0,Video,Paid,https://www.coursera.org/learn/toefl-reading-listening-sections-skills-mastery?specialization=toefl-preparation
R4723,Good Practice in Autism Education,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/autism-education
R1863,Positive Psychology: Resilience Skills,Coursera,Health,gratitude|plan|positive psychology|communication|mindfulness|,Intermediate,15.0,Video,Paid,https://www.coursera.org/learn/positive-psychology-resilience?specialization=positivepsychology
R319,Accounting Data Analytics Specialization,Coursera,Data Science,machine learning| python programming| data visualization (dataviz)| data preparation| exploratory data analysis| data analysis| predictive analytics| data architecture| coding| linear regression| sql| text analysis| ,Intermediate,7.0,Video,Paid,https://www.coursera.org/specializations/accounting-data-analytics
R5710,Fashion and Gaming: How Luxury Fashion Brands Use Gamification,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/fashion-and-gaming-how-luxury-fashion-brands-use-gamification
R2969,Secure and Private AI,Udacity,General,,Intermediate,2.0,Video,Paid,https://www.udacity.com/course/secure-and-private-ai--ud185
R4175,Overpopulation: Resource Depletion and Human Innovation,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/overpopulation-resource-depletion-and-human-innovation
R4517,Understanding Biological Energy,Future Learn,General,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/biological-energy
R6310,Introduction to Microsoft Azure Fundamentals,Future Learn,General,,Beginner,5.0,Video,Paid,https://www.futurelearn.com/courses/ms-azure-fundamentals
R3609,Fashion and the Climate Crisis: An Introduction to Sustainability,Future Learn,Information Technology,,Beginner,2.0,Video,Paid,https://www.futurelearn.com/courses/fashion-and-the-climate-crisis-an-introduction-to-sustainability
R7855,Becoming a Better Music Teacher,Future Learn,General,,Intermediate,5.0,Video,Paid,https://www.futurelearn.com/courses/becoming-a-better-music-teacher
R2956,How to Build a Startup,Udacity,General,,Intermediate,1.0,Video,Paid,https://www.udacity.com/course/how-to-build-a-startup--ep245
R5242,Cognitive Psychology: Employee and Customer Behaviour,Future Learn,Information Technology,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/cognitive-psychology-employee-and-customer-behaviour
R4710,Teacher Training: Choosing the Right PGCE for You,Future Learn,General,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/teacher-training-pgce
R3102,Business Ethics: Exploring Big Data and Tax Avoidance,Future Learn,Data Science,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/business-ethics
R6941,"City Liveability: The Intersections of Place, Mobility, and Health",Future Learn,Health,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/liveable-cities-place-health-and-mobility
R1534,Feature Engineering,Coursera,Data Science,,Intermediate,13.0,Video,Paid,https://www.coursera.org/learn/feature-engineering?specialization=machine-learning-tensorflow-gcp
R6530,AI and Machine Learning Algorithms Using Python,Future Learn,Data Science,,Intermediate,5.0,Video,Paid,https://www.futurelearn.com/courses/cloudswyft-msft-principles-of-machine-learning-pythoned-ai
R1323,Applied Data Science Capstone,Coursera,Data Science,methodology|github|jupyter notebook|data science methodology|k-means clustering|,Intermediate,17.0,Video,Paid,https://www.coursera.org/learn/applied-data-science-capstone?specialization=applied-data-science
R3621,Digital Playground: Where Luxury Fashion is Finding its Sense of Humour,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/digital-playground-where-luxury-fashion-is-finding-its-sense-of-humor
R4418,Self Care and Wellbeing: A Practical Guide for Health and Social Care,Future Learn,Health,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/self-care-and-wellbeing-a-practical-guide-for-health-and-social-care
R4904,International Humanitarian Law for Business,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/international-humanitarian-law-for-business
R3883,Innovation in EdTech: Hacking the Challenges of Digital Education,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/digieduhack
R102,Java Programming and Software Engineering Fundamentals Specialization,Coursera,Computer Science,html| javascript| cascading style sheets (css)| java programming| html5| algorithms| problem solving| string (computer science)| data structure| cryptography| hash table| programming principles| ,Intermediate,5.0,Video,Paid,https://www.coursera.org/specializations/java-programming
R6250,History of Slavery in the British Caribbean,Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/slavery-in-the-british-caribbean
R4997,"Equality, Diversity, and Inclusion: Understanding Bias and Allyship in EDI",Future Learn,Information Technology,,Intermediate,4.0,Video,Paid,https://www.futurelearn.com/courses/key-ideas-in-edi-understanding-bias-and-allyship
R4036,Cryptography and Digital Certificates,Future Learn,Information Technology,,Intermediate,2.0,Video,Paid,https://www.futurelearn.com/courses/cryptography-and-digital-certificates-et
R3986,Microsoft Future Ready: Data Science Research Methods Using Python Programming,Future Learn,Data Science,,Intermediate,3.0,Video,Paid,https://www.futurelearn.com/courses/datasciemethodsonpl-ethics
R2269,AI Applications in Marketing and Finance,Coursera,Business,,Intermediate,6.0,Video,Paid,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance?specialization=ai-for-business-wharton
R350,The Teacher and Social and Emotional Learning (SEL) Specialization,Coursera,Social Sciences,sel in curriculum| emotional engagement| social emotional learning| evaluation| teaching and learning| ,Intermediate,6.0,Video,Paid,https://www.coursera.org/specializations/teacher-sel
